		Freq	Align-R-WdFt	Align-L-Wd-Ft	All-Ft-R	All-Ft-L	FtBin	Trochee	Iamb	ParseSyll	NonFin-Ft	NonFin-Syll	NonInit-Ft	*S1
		Freq	Align-R-WdFt	Align-L-Wd-Ft	All-Ft-R	All-Ft-L	FtBin	Trochee	Iamb	ParseSyll	NonFin-Ft	NonFin-Syll	NonInit-Ft	*S1
	[S s1 S S] \-> (S s1) S S	0	1	0	2	0	0	1	0	2	0	0	1	0
	[S s S1 S] \-> S s (S1) S	0	1	1	1	2	1	0	0	3	0	0	0	1
	[S s S1 S] \-> S s (S1 S)	0	0	1	0	2	0	0	1	2	1	0	0	1
	[S s S1 S] \-> S (s S1) S	0	1	1	1	1	0	1	0	2	0	0	0	1
	[S s S S1] \-> S s S (S1)	0	0	1	0	3	1	0	0	3	1	1	0	1
	[S s S S1] \-> S s (S S1)	0	0	1	0	2	0	1	0	2	1	1	0	1
/S s S s/	[S1 s S s] \-> (S1) s S s	1	1	0	3	0	1	0	0	3	0	0	1	1
	[S1 s S s] \-> (S1 s) S s	0	1	0	2	0	0	0	1	2	0	0	1	1
	[S s1 S s] \-> S (s1) S s	0	1	1	2	1	1	0	0	3	0	0	0	0
	[S s1 S s] \-> S (s1 S) s	0	1	1	1	1	0	0	1	2	0	0	0	0
	[S s1 S s] \-> (S s1) S s	0	1	0	2	0	0	1	0	2	0	0	1	0
	[S s S1 s] \-> S s (S1) s	0	1	1	1	2	1	0	0	3	0	0	0	1
	[S s S1 s] \-> S s (S1 s)	0	0	1	0	2	0	0	1	2	1	0	0	1
	[S s S1 s] \-> S (s S1) s	0	1	1	1	1	0	1	0	2	0	0	0	1
	[S s S s1] \-> S s S (s1)	0	0	1	0	3	1	0	0	3	1	1	0	0
	[S s S s1] \-> S s (S s1)	0	0	1	0	2	0	1	0	2	1	1	0	0
/S s s S/	[S1 s s S] \-> (S1) s s S	1	1	0	3	0	1	0	0	3	0	0	1	1
	[S1 s s S] \-> (S1 s) s S	0	1	0	2	0	0	0	1	2	0	0	1	1
